"","Word","N","M_Val","SD_Val","M_Aro","SD_Aro","M_Dom","SD_Dom","N_Female","N_Male","M_Val_Female","M_Val_Male","SD_Val_Female","SD_Val_Male","M_Aro_Female","M_Aro_Male","SD_Aro_Female","SD_Aro_Male","M_Dom_Female","M_Dom_Male","SD_Dom_Female","SD_Dom_Male","Item","English","Syllables_separation","Syllables","Length","Frequency","Categories"
"205","cirugía",63,3.46031746031746,2.34744471112463,5.98412698412698,2.58713980501861,4.11111111111111,2.6464285800661,44,19,3.29545454545455,3.84210526315789,2.2781014683748,2.52241414113845,6.18181818181818,5.52631578947368,2.48972518585025,2.81599441785731,3.65909090909091,5.15789473684211,2.39129411123497,2.96766196590172,612,"surgery","ci-ru-gí-a",4,7,21.44,1
"206","ciudad",87,5.91954022988506,1.81862707483316,4.40229885057471,2.10458950377913,5.6551724137931,1.89139782323597,65,22,6.03076923076923,5.59090909090909,1.74077237499291,2.03911957913425,4.21538461538462,4.95454545454545,1.90797919679032,2.57233028922864,5.8,5.22727272727273,1.80450824326186,2.11416578576444,73,"city","ciu-dad",2,6,594.92,1
"207","cobarde",64,2.96875,1.64238260917505,5.671875,2.07061594624049,4.453125,2.28125339747518,52,12,2.84615384615385,3.5,1.55152822049891,1.97714210644832,5.63461538461539,5.83333333333333,2.14228068091861,1.80067327475704,4.40384615384615,4.66666666666667,2.41124502365532,1.66969421987344,703,"coward","co-bar-de",3,7,7.24,2
"208","coche",57,6.49122807017544,2.053940524747,3.84210526315789,2.32831540637839,6.71929824561404,1.9249711126303,36,21,6.58333333333333,6.33333333333333,2.00534998726621,2.17562251627743,3.86111111111111,3.80952380952381,2.40419606732869,2.24986772097934,6.69444444444444,6.76190476190476,2.01167228862591,1.81396697612613,551,"car","co-che",2,5,45.84,1
"209","cocina",72,7,1.95008125507848,3.66666666666667,2.23291636497155,6.34722222222222,2.22127816410195,45,27,6.53333333333333,7.77777777777778,1.99544936839254,1.62512326948624,3.97777777777778,3.14814814814815,2.27125204646817,2.10683327265032,5.97777777777778,6.96296296296296,2.26122341070742,2.04716467116917,709,"cuisine","co-ci-na",3,6,93.86,2
"210","cocinero",60,6.61666666666667,1.9922873887941,3.78333333333333,1.92302433652569,6.43333333333333,1.7209247284248,46,14,6.52173913043478,6.92857142857143,2.08421720380986,1.68542556663275,4.02173913043478,3,1.96060229334177,1.61721508012528,6.26086956521739,7,1.73121386583962,1.61721508012528,697,"cook","co-ci-ne-ro",4,8,6.23,1
"211","codo",68,4.57352941176471,1.81466806693453,4.13235294117647,2.13642477025203,5.88235294117647,2.0914139455124,54,14,4.51851851851852,4.78571428571429,1.86062213921409,1.67233468441676,4.2962962962963,3.5,2.20316778478412,1.78670302297491,5.72222222222222,6.5,2.14930148079461,1.78670302297491,737,"elbow","co-do",2,4,5.83,1
"212","coito",59,7.10169491525424,2.12290395818166,4.96610169491525,2.53231597482944,6.08474576271186,2.2688910825762,48,11,7,7.54545454545455,2.19283164841669,1.80906806746658,5.08333333333333,4.45454545454545,2.51661147842358,2.65945995885016,6.14583333333333,5.81818181818182,2.29698769745715,2.22792198329214,819,"intercourse","coi-to",2,5,1.75,1
"213","color",62,6.93548387096774,2.11838917879844,3.29032258064516,2.4852819002568,6.98387096774194,2.09207666445639,45,17,7.11111111111111,6.47058823529412,2.14499652703917,2.03462671818517,3.33333333333333,3.17647058823529,2.61116483933547,2.18618658048802,7.15555555555556,6.52941176470588,1.99949488570984,2.3215740096652,694,"color","co-lor",2,5,125.32,2
"214","columna",76,5.44736842105263,1.4179302929938,3.67105263157895,1.7617276209807,5.97368421052632,1.62459171659037,56,20,5.28571428571429,5.9,1.30334235667429,1.65115589496379,3.98214285714286,2.8,1.72142722422753,1.60918416727562,5.57142857142857,7.1,1.31918904644472,1.88902648277667,695,"column","co-lum-na",3,7,26.55,1
"215","comedia",58,7.67241379310345,1.83903036078162,4.10344827586207,2.41842093743232,6.53448275862069,2.26503179359878,41,17,7.53658536585366,8,1.93775077055345,1.58113883008419,3.97560975609756,4.41176470588235,2.36101466405917,2.59949090038347,6.31707317073171,7.05882352941176,2.19589417311313,2.41015010516187,77,"comedy","co-me-dia",3,7,22.98,1
"216","comer",60,7.46666666666667,2.07050854857388,3.53333333333333,2.10299759154795,6.8,2.19243692292776,42,18,7.23809523809524,8,1.98542891857364,2.22287572090485,3.4047619047619,3.83333333333333,1.87485965405835,2.59524451981833,6.38095238095238,7.77777777777778,2.20810459446923,1.86470485144608,136,"eat","co-mer",2,5,98.34,1
"217","comida",63,7.95238095238095,1.6107358709866,4.49206349206349,2.98854272326948,6.61904761904762,2.39238423004071,45,18,7.86666666666667,8.16666666666667,1.70026735865542,1.38266579688743,4.26666666666667,5.05555555555556,3.03315017762062,2.87938355784752,6.75555555555556,6.27777777777778,2.47859523590165,2.19103938685986,514,"food","co-mi-da",3,6,109.94,2
"218","comodidad",61,7.91803278688525,1.91742085423113,2.19672131147541,1.84227822845472,7.73770491803279,1.99918015983438,45,16,8.06666666666667,7.5,1.78885438199983,2.25092573548455,1.66666666666667,3.6875,1.1481209945741,2.54869247523771,8.11111111111111,6.6875,1.44948615067896,2.86865241300975,696,"comfort","co-mo-di-dad",4,9,9.59,1
"219","comprometido",73,7.0958904109589,1.88682849395519,4.06849315068493,2.48511550772957,6.95890410958904,1.97511150293108,50,23,7.3,6.65217391304348,1.79852547314488,2.03623305623117,3.68,4.91304347826087,2.37710164799446,2.55686319679302,7.2,6.43478260869565,1.77281052085584,2.31253672121256,143,"engaged","com-pro-me-ti-do",5,12,10.77,2
"220","compungido",68,4.30882352941176,1.41692701906222,4.82352941176471,1.6294049501764,4.83823529411765,1.54156631063312,53,15,4.24528301886792,4.53333333333333,1.43989396481074,1.35576371027375,4.79245283018868,4.93333333333333,1.5975761756972,1.79151438998513,4.81132075471698,4.93333333333333,1.55732269979338,1.53374735611213,348,"regretful","com-pun-gi-do",4,10,0.86,2
"221","computadora",77,6.32467532467532,2.03548493149834,3.50649350649351,2.10027176576958,6.83116883116883,1.85955991824465,60,17,5.98333333333333,7.52941176470588,1.96142171427843,1.87475488593921,3.33333333333333,4.11764705882353,1.85642874455655,2.78123967281625,6.71666666666667,7.23529411764706,1.81417830927754,2.01647625093583,552,"computer","com-pu-ta-do-ra",5,11,46.14,2
"222","concentrado",70,6.47142857142857,1.79145660572238,3.25714285714286,2.35098323116289,6.42857142857143,2.68960116956878,55,15,6.67272727272727,5.73333333333333,1.67834293779162,2.05171240906805,3.14545454545455,3.66666666666667,2.28049849828352,2.63673679998231,6.56363636363636,5.93333333333333,2.60884277143346,3.01109061083632,78,"concentrate","con-cen-tra-do",4,11,11.76,3
"223","conejito",76,7.05263157894737,1.95205694481218,3.64473684210526,2.21933291700259,6.46052631578947,2.03594884987277,62,14,7.04838709677419,7.07142857142857,2.01979888103513,1.68542556663275,3.62903225806452,3.71428571428571,2.2560219665811,2.12778582744423,6.66129032258065,5.57142857142857,1.96646931999007,2.17376970382668,54,"bunny","co-ne-ji-to",4,8,1.09,1
"224","conejo",61,6.77049180327869,2.06876325875268,3.81967213114754,2.18714575586015,6.52459016393443,2.04618797912158,46,15,6.95652173913043,6.2,2.21064617741943,1.47357679522601,3.82608695652174,3.8,2.2833148206168,1.93464651625488,6.47826086956522,6.66666666666667,2.10543350442276,1.91485421551268,527,"rabbit","co-ne-jo",3,6,13.71,1
"225","confiado",69,6.85507246376812,1.97986454021808,2.91304347826087,2.11256138396569,7.11594202898551,1.91385222771538,52,17,6.80769230769231,7,2.07731407972459,1.69558249578132,2.65384615384615,3.70588235294118,1.98903479779708,2.33892886494953,7.25,6.70588235294118,1.89814150591324,1.96101714303933,79,"confident","con-fia-do",3,8,5.91,2
"226","confianza",63,7.53968253968254,1.67356483365066,2.50793650793651,1.96643623842084,7.15873015873016,2.2590773823753,48,15,7.72916666666667,6.93333333333333,1.59439955126625,1.83095083286825,2.41666666666667,2.8,1.91114684666133,2.1778101714468,7.20833333333333,7,2.28741546369393,2.23606797749979,457,"trust","con-fian-za",3,9,98.44,1
